aged	dad	mom	female	root	bird	political	quarterback	olddays	potato	when64	kalimba	feelold	computer	diner	cond	aged365
6765	49	45	0	1	7	3	2	13	0	0	1	2	4	7	control	18.53424644
7715	63	62	1	1	3	2	1	12	0	1	0	4	4	8	64	21.13698578
7630	61	59	0	1	7	1	2	12	0	1	0	2	4	6	64	20.90410995
7543	54	51	0	1	5	3	3	12	0	0	1	1	4	8	control	20.66575432
7849	47	43	0	1	5	2	3	13	0	1	0	3	5	6	64	21.50411034
7581	49	50	1	1	5	2	2	11	0	1	0	3	2	8	64	20.76986313
7534	56	55	1	1	7	2	2	13	0	0	1	3	4	8	control	20.64109612
6678	45	45	1	1	3	4	1	11	0	1	0	3	4	6	64	18.29589081
6970	53	51	0	1	7	2	4	13	1	0	0	2	2	8	potato	19.09589005
7681	53	51	0	1	5	2	1	13	0	1	0	2	5	1	64	21.04383469
7240	61	57	1	1	5	2	2	14	0	0	1	2	5	8	control	19.83561707
6835	49	49	0	1	6	2	2	13	1	0	0	3	5	8	potato	18.72602654
7847	47	48	0	1	7	4	3	12	0	1	0	2	4	8	64	21.49863052
7859	54	49	0	1	6	2	2	12	1	0	0	2	3	7	potato	21.53150749
13959	60	64	1	1	5	3	1	12	0	1	0	3	4	4	64	38.24383545
7639	54	52	0	1	5	1	1	11	0	0	1	2	4	6	control	20.92876625
7497	55	55	0	1	6	2	4	13	1	0	0	2	4	6	potato	20.53972626
7012	46	46	1	1	7	1	3	12	0	1	0	2	1	9	64	19.21095848
7579	56	57	1	1	6	2	1	13	1	0	0	2	2	5	potato	20.76438332
7287	51	46	0	1	3	1	2	13	1	0	0	3	4	7	potato	19.96438408
7670	55	53	0	1	6	2	1	13	0	0	1	2	4	8	control	21.01369858
7823	50	49	1	1	7	3	2	14	0	0	1	2	4	5	control	21.43287659
7874	52	52	0	1	6	1	1	15	0	0	1	2	4	8	control	21.57260323
7163	46	46	0	1	6	2	3	13	0	0	1	2	4	8	control	19.62465668
8016	59	55	0	1	6	2	2	12	0	1	0	3	4	7	64	21.96164322
7791	58	55	1	1	5	2	2	14	0	0	1	2	4	7	control	21.34520531
6746	56	51	1	1	5	2	4	12	0	1	0	2	5	6	64	18.48219109
7417	56	53	1	1	5	2	1	12	1	0	0	2	4	7	potato	20.3205471
6635	49	47	1	1	5	2	4	13	1	0	0	2	4	4	potato	18.17808151
7515	46	44	1	1	6	3	4	12	0	1	0	2	4	8	64	20.58904076
6722	51	48	1	1	5	2	1	13	0	1	0	2	4	7	64	18.41643906
8060	59	61	1	1	7	2	2	13	1	0	0	3	2	8	potato	22.08219147
6904	51	49	1	1	7	3	1	13	0	0	1	2	4	8	control	18.91506767
7719	49	45	0	1	7	2	1	12	1	0	0	3	4	7	potato	21.1479454
8033	48	47	0	1	6	2	3	13	1	0	0	2	4	8	potato	22.00821877
7695	55	53	0	1	1	2	4	12	1	0	0	4	3	8	potato	21.08219147
8026	59	45	0	1	3	3	1	14	0	0	1	2	5	8	control	21.98904037
7817	56	50	1	1	5	2	3	12	0	1	0	2	2	7	64	21.41643906
7665	49	50	0	1	6	2	2	13	1	0	0	2	3	6	potato	21
8002	56	56	1	1	7	2	2	13	1	0	0	3	5	7	potato	21.92328835
7373	49	48	1	1	6	2	3	13	1	0	0	3	4	7	potato	20.20000076
7770	47	48	1	1	6	2	3	13	1	0	0	2	4	6	potato	21.28767204
7576	51	52	0	1	2	4	2	13	1	0	0	3	2	7	potato	20.75616455
7513	56	54	0	1	6	2	1	14	0	0	1	3	4	8	control	20.58356094
