aged	dad	mom	female	root	bird	political	quarterback	olddays	potato	when64	kaimba	feelold	computer	diner	cond	aged365
7097	53	47	0	1	6	2	4	13	0	1	0	3	2	4	64	19.44383621
6713	47	39	1	1	7	4	2	12	1	0	0	1	4	8	potato	18.39178085
6942	53	51	0	1	5	2	2	13	1	0	0	2	4	6	potato	19.01917839
9938	61	59	1	1	7	1	3	14	0	0	1	1	2	9	control	27.22739792
7850	53	48	1	1	7	2	2	13	1	0	0	4	4	7	potato	21.50684929
7082	42	43	0	1	7	2	2	13	0	0	1	2	1	8	control	19.40274048
7408	50	48	0	1	6	2	1	11	1	0	0	2	4	5	potato	20.29589081
7070	49	48	0	1	5	2	1	12	1	0	0	3	4	8	potato	19.36986351
7700	63	49	0	1	6	3	2	12	1	0	0	3	5	8	potato	21.09589005
7627	57	53	0	1	2	3	1	12	0	1	0	2	2	7	64	20.89589119
7992	54	53	1	1	5	4	2	13	1	0	0	2	4	5	potato	21.89589119
7438	51	51	1	1	7	2	2	13	0	1	0	3	3	8	64	20.37808228
7307	48	47	0	1	7	2	3	12	1	0	0	2	4	7	potato	20.01917839
7318	46	43	0	1	7	2	2	12	0	0	1	1	4	7	control	20.0493145
7993	54	48	1	1	3	2	3	13	0	0	1	4	5	9	control	21.89863014
9991	60	63	0	1	6	2	3	13	1	0	0	3	4	3	potato	27.37260246
7237	61	57	0	1	5	2	2	13	1	0	0	2	4	8	potato	19.82739639
6975	47	47	0	1	3	2	1	13	0	0	1	2	1	8	control	19.10958862
7621	50	54	0	1	7	3	2	14	0	1	0	2	4	8	64	20.87945175
8161	56	55	1	1	6	2	2	12	0	1	0	2	2	8	64	22.35890388
8052	52	52	1	1	6	4	1	12	0	0	1	3	3	6	control	22.06027412
7400	53	49	1	1	2	3	1	11	0	1	0	2	4	7	64	20.27397346
7709	62	60	1	1	5	2	4	13	1	0	0	2	5	7	potato	21.12054825
7119	50	50	0	1	7	2	3	14	0	0	1	2	2	4	control	19.50411034
6685	47	48	0	1	7	4	3	12	0	1	0	3	3	8	64	18.3150692
7366	48	49	0	1	5	2	2	15	0	1	0	4	4	9	64	20.18082237
7513	45	45	0	1	7	4	2	12	0	0	1	2	2	8	control	20.58356094
7135	56	55	0	1	6	2	1	14	1	0	0	2	4	4	potato	19.54794502
7559	52	50	0	1	7	2	4	12	0	0	1	2	3	6	control	20.709589
7864	47	65	1	1	6	4	3	13	0	1	0	2	4	6	64	21.54520607
7214	55	50	0	1	5	4	4	12	0	1	0	3	4	7	64	19.76438332
7173	56	55	1	1	6	4	2	14	0	1	0	3	2	7	64	19.65205574
6984	52	43	1	1	5	3	2	13	1	0	0	3	2	4	potato	19.13424683
7082	63	51	0	1	7	2	4	12	1	0	0	2	4	7	potato	19.40274048
